run_id,off_axis_cm,energy_lower_MeV,energy_upper_MeV,response_value,response_sigma,controlled_geometry_family_id,source_normalization_id,source_proton_MeV,shield_thickness_cm,response_unit
CTRL_JAERI43_T000,0,0.000193876365838,0.0002481386149539,0.722973804462191,0.3233230679922921,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0002481386149539,0.0003175878192532,0.1445909979801263,0.1445909979801263,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0003175878192532,0.0004064745140805,0.2891983003013421,0.2044939770045865,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0004064745140805,0.0005202388775032,0.2891934391891422,0.2044905396806025,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0005202388775032,0.0006658436883258,0.5783968347663137,0.2891979837036215,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0006658436883258,0.0008522004726197,0.2891997023667945,0.2044949684454718,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0008522004726197,0.001090714920433,0.1446029631493617,0.1446029631493617,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.001090714920433,0.0013959849541015,0.5783872714177728,0.289193201999969,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0013959849541015,0.0017866941723912,1.590581639755945,0.4795760111146821,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0017866941723912,0.0022867553523964,1.301354831428258,0.4337832088342159,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0022867553523964,0.0029267739955268,2.168922429756036,0.5600094433119818,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0029267739955268,0.0037459214917394,2.8919472301965614,0.646652916374901,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0037459214917394,0.004794332546251,2.3135516745240934,0.578383580937528,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.004794332546251,0.0061361735996684,2.8919181177088173,0.6466464066133544,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0061361735996684,0.0078535700396314,5.205491555539544,0.8675667434470546,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0078535700396314,0.0100516325631221,6.073065628538756,0.9370751606855164,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0100516325631221,0.0128648903204736,6.362249286089617,0.9591245468993008,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0128648903204736,0.0164655245721009,9.83261250259077,1.1923394645637109,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0164655245721009,0.0210739067866749,10.989353361091958,1.2605180114188317,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0210739067866749,0.0269720861493815,16.77321469161892,1.5572643373255608,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0269720861493815,0.034521051963163,18.942227018287888,1.6548824813960064,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.034521051963163,0.0441828274625589,26.605784341420737,1.96122496805102,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0441828274625589,0.0565487472591895,30.22082092515499,2.090200480110155,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0565487472591895,0.0723756490979105,42.65599611087482,2.48316300619179,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.0723756490979105,0.092632194986294,52.48861412575014,2.7544390839002912,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.092632194986294,0.1185581567133258,70.99710220398887,3.203269280202678,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.1185581567133258,0.1517402942393978,86.61359945986486,3.537877434223036,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
CTRL_JAERI43_T000,0,0.1517402942393978,0.1942094709816875,105.84474219056943,3.91070409581618,CTRL_JAERI43_FIXED_NOFE_BC501A_PLANE_GAP0P05,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43,0.0,n cm-2 lethargy-1 uC-1
