keywords,text
channel,2021-05-10T03:12:22 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-10T03:12:22 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-10T03:12:22 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-10T04:17:08 Programming Time channels
channel,2021-05-10T04:17:08 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-10T04:17:08 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-10T04:17:08 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-10T05:22:13 Programming Time channels
channel,2021-05-10T05:22:13 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-10T05:22:13 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-10T05:22:13 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-10T06:27:00 Programming Time channels
channel,2021-05-10T06:27:00 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-10T06:27:00 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-10T06:27:00 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-10T07:31:48 Programming Time channels
channel,2021-05-10T07:31:48 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-10T07:31:48 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-10T07:31:48 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-10T08:35:49 Programming Time channels
channel,2021-05-10T08:35:49 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-10T08:35:49 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-10T08:35:49 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-10T09:36:40 Programming Time channels
channel,2021-05-10T09:36:40 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-10T09:36:40 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-10T09:36:40 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-10T10:22:25 Programming Time channels
channel,2021-05-10T10:22:25 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
