run_number,path,shape,dtype,size,role
44712,raw_data_1/selog/DAE_timing/vi_name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/EPICS_PUTLOG/read_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/EPICS_PUTLOG/set_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/EPICS_PUTLOG/setpoint,"(1, 1)",|S3,1,early_empty_control
44712,raw_data_1/selog/EPICS_PUTLOG/value,"(1, 1)",|S50,1,early_empty_control
44712,raw_data_1/selog/EPICS_PUTLOG/value_log/alarm_severity,"(1, 1)",|S2,1,early_empty_control
44712,raw_data_1/selog/EPICS_PUTLOG/value_log/alarm_status,"(1, 1)",|S2,1,early_empty_control
44712,raw_data_1/selog/EPICS_PUTLOG/value_log/alarm_time,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/EPICS_PUTLOG/value_log/name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/EPICS_PUTLOG/value_log/time,"(22,)",float32,22,early_empty_control
44712,raw_data_1/selog/EPICS_PUTLOG/value_log/value,"(22, 1)",|S66,22,early_empty_control
44712,raw_data_1/selog/EPICS_PUTLOG/value_log/value_valid,"(22,)",int32,22,early_empty_control
44712,raw_data_1/selog/EPICS_PUTLOG/vi_name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/FoilChangerDownstream/read_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/FoilChangerDownstream/set_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/FoilChangerDownstream/setpoint,"(1, 1)",|S3,1,early_empty_control
44712,raw_data_1/selog/FoilChangerDownstream/value,"(1, 1)",|S5,1,early_empty_control
44712,raw_data_1/selog/FoilChangerDownstream/value_log/alarm_severity,"(1, 1)",|S4,1,early_empty_control
44712,raw_data_1/selog/FoilChangerDownstream/value_log/alarm_status,"(1, 1)",|S8,1,early_empty_control
44712,raw_data_1/selog/FoilChangerDownstream/value_log/alarm_time,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/FoilChangerDownstream/value_log/name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/FoilChangerDownstream/value_log/time,"(3,)",float32,3,early_empty_control
44712,raw_data_1/selog/FoilChangerDownstream/value_log/value,"(3, 1)",|S5,3,early_empty_control
44712,raw_data_1/selog/FoilChangerDownstream/value_log/value_valid,"(3,)",int32,3,early_empty_control
44712,raw_data_1/selog/FoilChangerDownstream/vi_name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/FoilChangerUpstream/read_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/FoilChangerUpstream/set_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/FoilChangerUpstream/setpoint,"(1, 1)",|S3,1,early_empty_control
44712,raw_data_1/selog/FoilChangerUpstream/value,"(1, 1)",|S5,1,early_empty_control
44712,raw_data_1/selog/FoilChangerUpstream/value_log/alarm_severity,"(1, 1)",|S4,1,early_empty_control
44712,raw_data_1/selog/FoilChangerUpstream/value_log/alarm_status,"(1, 1)",|S8,1,early_empty_control
44712,raw_data_1/selog/FoilChangerUpstream/value_log/alarm_time,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/FoilChangerUpstream/value_log/name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/FoilChangerUpstream/value_log/time,"(3,)",float32,3,early_empty_control
44712,raw_data_1/selog/FoilChangerUpstream/value_log/value,"(3, 1)",|S5,3,early_empty_control
44712,raw_data_1/selog/FoilChangerUpstream/value_log/value_valid,"(3,)",int32,3,early_empty_control
44712,raw_data_1/selog/FoilChangerUpstream/vi_name,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilLeft/read_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilLeft/set_control,"(1,)",|S1,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilLeft/setpoint,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilLeft/setpoint_spread,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilLeft/value,"(1,)",float32,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilLeft/value_log/alarm_severity,"(1, 1)",|S4,1,early_empty_control
44712,raw_data_1/selog/ForwardFoilLeft/value_log/alarm_status,"(1, 1)",|S8,1,early_empty_control
